year,artwork_count
1952,1
1962,8
2001,50
1999,67
1950,1
1957,5
1955,2
1937,7
1923,2
2012,152
1954,3
1959,7
1988,11
1896,1
1964,16
1969,6
2008,96
1989,25
1991,24
1974,5
1971,3
1977,21
1943,1
1935,6
1956,1
1940,17
1890,1
1984,29
1983,46
1934,1
2009,182
2005,20
1958,2
1973,11
2013,105
1914,1
2003,27
1933,6
1993,14
1990,30
1930,2
1953,5
2002,127
1979,10
2004,113
1997,220
1980,33
1919,1
1897,3
1922,4
1986,92
1970,14
1975,262
1936,3
1982,12
1942,1
1995,23
1992,24
1963,9
1994,33
2010,46
1928,3
1939,6
1924,6
1996,64
1931,3
1987,23
1967,10
2000,64
2011,66
1965,3
1948,3
1932,2
1985,16
1949,2
1908,1
1941,20
1947,1
1938,5
1925,1
1960,5
1917,10
1946,28
1951,3
1972,1
1998,105
1976,55
1868,1
1915,1
1966,2
2007,43
1981,19
1929,5
1927,4
1978,40
1968,5
1944,2
2006,42
1961,3
