year,artwork_count
1959,11
1907,2
1762,3
1964,18
1969,43
1798,1
1775,1
1838,2
1989,20
1991,46
1974,48
1817,1
1971,53
1935,17
1977,39
1861,1
1660,2
1856,2
1983,30
1899,4
1799,2
2009,17
1840,1
1750,6
1958,19
1836,2
1973,67
1933,9
2003,28
1953,4
1903,1
1912,5
1997,98
1897,1
1894,1
1844,2
1963,28
1994,72
1928,6
1924,5
1866,1
1987,17
2000,35
1834,2
1948,15
1932,7
1908,3
1985,47
1761,1
1941,3
1947,10
1938,6
1911,3
1895,1
1925,3
1906,1
1960,23
1951,13
1915,12
1981,25
1966,13
1916,7
1978,18
1944,3
1968,39
2006,22
1857,2
1765,6
1796,1
1962,13
1766,4
1782,2
1926,3
1923,7
2012,3
1832,1
1954,17
1988,38
1896,2
1863,1
2008,25
1945,6
1943,3
1681,1
1940,5
1956,12
1890,1
1984,11
1778,1
1934,10
1913,3
2005,32
1885,1
1914,5
1904,5
1990,31
1993,23
1930,15
2002,28
1979,46
2004,33
1837,1
1760,1
1980,20
1919,3
1859,1
1803,2
1839,2
1922,3
1936,5
1986,24
1921,5
1970,67
1975,60
1982,14
1901,3
1942,3
1995,84
1884,1
1992,48
1770,1
1920,8
1879,1
2010,27
1939,9
1822,1
1931,9
1996,68
1773,1
1967,43
2011,11
1965,37
1909,4
1949,10
1918,2
1946,6
1917,3
1972,77
1976,43
1998,59
2007,51
1929,15
1927,7
1902,24
1961,24
1952,5
2001,67
1910,5
1950,7
1999,65
1957,11
1955,7
1937,9
1900,2
