artist,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,artistRole,title,medium,creditLine,year,acquisitionYear,width,height,units,thumbnailUrl,artwork_url,artist_url,medium_normalized,name_normalized
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper. Verso: ink on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13457_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13457,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper. Verso: ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13458_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13458,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper. Verso: ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13459_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13459,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper. Verso: ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13460_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13460,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13461_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13461,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13462_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13462,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13463_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13463,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13464,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13465,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13466_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13466,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
